char,frequency,probability
万,30048,0.0013502614513836674
西,29991,0.0013477000528636705
信,29927,0.0013448240966306914
城,29794,0.001338847500084032
习,29652,0.0013324664721921097
护,29444,0.0013231196144349276
支,29389,0.0013206480895472112
南,29325,0.001317772133314232
山,29141,0.0013095037591444173
道,28671,0.0012883834555584774
期,28632,0.0012866309197290058
流,28588,0.0012846536998188326
立,28369,0.0012748125370841076
育,28212,0.0012677574569500809
次,28195,0.0012669935310756957
特,28157,0.0012652859320623645
集,28034,0.0012597587036771078
题,27845,0.0012512656454265914
相,27673,0.0012435365130504604
传,27581,0.0012394023259655529
北,27219,0.001223135198522765
续,27218,0.0012230902617066247
组,27193,0.0012219668413031173
第,26624,0.0011963977929192878
坚,26567,0.001193836394399291
台,26494,0.001190556006821049
色,26469,0.0011894325864175417
升,26453,0.0011887135973592969
团,26387,0.0011857477674940373
美,26298,0.0011817483908575508
起,26293,0.0011815237067768494
态,26283,0.0011810743386154463
委,26003,0.001168492030096163
风,25873,0.0011626502439979242
效,25754,0.0011573027628772289
智,25613,0.001150966671801447
局,25520,0.0011467875479003991
联,25444,0.0011433723498737365
他,25438,0.0011431027289768947
精,25341,0.0011387438578112858
域,25277,0.0011358679015783068
改,25251,0.0011346995443586591
际,25223,0.0011334413135067308
施,25211,0.0011329020717130473
门,25200,0.0011324077667355039
种,25167,0.001130924851802874
调,25079,0.0011269704119825279
供,25030,0.0011247685079916532
元,24908,0.001119286216422537
解,24863,0.0011172640596962236
华,24597,0.0011053108666029044
费,24474,0.0010997836382176478
如,24468,0.0010995140173208058
导,24327,0.001093177926245024
优,24134,0.0010845051207299464
江,24034,0.0010800114391159167
三,24001,0.0010785285241832869
求,23984,0.0010777645983089017
广,23748,0.0010671595096997915
问,23702,0.0010650924161573379
老,23596,0.0010603291136464662
专,23581,0.0010596550614043617
最,23465,0.0010544423907320871
步,23430,0.001052869602167177
计,23419,0.0010523752971896335
省,23208,0.0010428936289840307
示,23132,0.001039478430957368
报,23065,0.0010364676642759681
东,23038,0.00103525437024018
位,23027,0.001034760065262637
世,23004,0.00103372651849141
放,23000,0.0010335467712268489
营,22973,0.0010323334771910608
两,22847,0.0010266714383573832
环,22810,0.001025008776160192
意,22810,0.001025008776160192
还,22799,0.001024514471182649
需,22754,0.0010224923144563356
球,22681,0.0010192119268780937
融,22614,0.0010162011601966938
都,22565,0.0010139992562058192
游,22456,0.0010091011432465267
手,22323,0.0010031245466998672
商,22208,0.000997956812843733
境,22186,0.0009969682028886464
让,22131,0.00099449667800093
界,21976,0.000987531471499184
队,21969,0.0009872169137862018
及,21912,0.0009846555152662048
构,21901,0.0009841612102886616
众,21898,0.0009840263998402406
责,21890,0.0009836669053111182
消,21884,0.0009833972844142764
比,21802,0.000979712465490772
带,21619,0.0009714890281370975
其,21604,0.000970814975894993
所,21428,0.0009629060962543007
标,21353,0.0009595358350437783
义,21309,0.0009575586151336052
口,21286,0.0009565250683623784
打,21274,0.0009559858265686948
群,21096,0.0009479870732957218
情,21081,0.0009473130210536174
十,21052,0.0009460098533855487
办,21005,0.0009438978230269547
医,20893,0.0009388648996192414
究,20705,0.0009304167781848654
线,20648,0.0009278553796648684
引,20609,0.0009261028438353968
据,20415,0.000917385101504179
议,20375,0.0009155876288585671
今,20355,0.0009146888925357612
完,20269,0.0009108243263476956
形,20159,0.0009058812765722628
型,20157,0.0009057914029399822
结,20145,0.0009052521611462986
变,20018,0.0008995451854964808
名,19978,0.0008977477128508689
接,19942,0.0008961299874698182
策,19826,0.0008909173167975437
网,19801,0.0008897938963940362
收,19760,0.000887951486932284
快,19659,0.000883412868502114
看,19657,0.0008833229948698333
指,19561,0.0008790090605203647
协,19523,0.0008773014615070335
二,19362,0.0008700666341084455
转,19344,0.0008692577714179201
助,19290,0.0008668311833463441
越,19278,0.0008662919415526604
而,19192,0.0008624273753645949
感,19087,0.0008577090096698636
节,19048,0.000855956473840392
处,18957,0.0008518672235716248
准,18872,0.0008480475941996995
乡,18747,0.0008424304921821623
京,18725,0.0008414418822270757
果,18724,0.0008413969454109355
气,18682,0.000839509599133043
干,18340,0.0008241412080130611
验,18247,0.0008199620841120135
达,18232,0.000819288031869909
决,18221,0.0008187937268923657
常,18185,0.000817176001511315
模,18098,0.0008132664985071091
州,18060,0.0008115588994937777
投,18052,0.0008111994049646554
条,17976,0.0008077842069379928
边,17908,0.0008047285034404525
观,17880,0.0008034702725885242
历,17870,0.0008030209044271212
件,17793,0.0007995607695843183
县,17776,0.0007987968437099332
河,17762,0.0007981677282839691
断,17758,0.0007979879810194079
类,17421,0.0007828442739801275
把,17318,0.0007782157819176768
并,17260,0.0007756094465815396
走,17255,0.000775384762500838
族,17176,0.0007718347540257546
空,17102,0.0007685094296313725
青,17089,0.0007679252510215486
织,17038,0.0007656334733983934
监,17007,0.0007642404320980442
首,17004,0.0007641056216496233
单,17003,0.000764060684833483
旅,16896,0.0007592524455064712
张,16860,0.0007576347201254204
参,16828,0.000756196742008931
四,16769,0.0007535454698566534
史,16713,0.0007510290081527966
无,16679,0.0007495011564040265
已,16633,0.0007474340628615729
然,16581,0.0007450973484222774
至,16572,0.0007446929170770147
革,16564,0.0007443334225478923
军,16342,0.0007343574493647462
身,16312,0.0007330093448805373
超,16229,0.0007292795891408925
想,16120,0.0007243814761816001
去,16093,0.000723168182145812
头,16040,0.0007207865308903763
积,16015,0.0007196631104868688
落,16007,0.0007193036159577464
备,15971,0.0007176858905766957
神,15967,0.0007175061433121345
原,15881,0.0007136415771240689
权,15861,0.000712742840801263
布,15801,0.0007100466318328451
稳,15783,0.0007092377691423198
受,15775,0.0007088782746131973
先,15703,0.0007056428238510959
女,15702,0.0007055978870349557
做,15690,0.000705058645241272
光,15664,0.0007038902880216243
极,15634,0.0007025421835374154
副,15620,0.0007019130681114512
整,15556,0.0006990371118784722
才,15518,0.0006973295128651409
确,15387,0.0006914427899507618
互,15320,0.0006884320232693619
林,15280,0.0006866345506237499
思,15150,0.0006807927645255113
范,15128,0.0006798041545704247
央,15109,0.0006789503550637591
亿,15101,0.0006785908605346367
些,15089,0.000678051618740953
字,15055,0.0006765237669921829
景,15033,0.0006755351570370964
回,14981,0.0006731984425978009
清,14951,0.000671850338113592
善,14927,0.0006707718545262249
案,14917,0.0006703224863648219
举,14893,0.0006692440027774547
客,14886,0.0006689294450644727
取,14849,0.0006672667828672817
见,14839,0.0006668174147058787
影,14824,0.0006661433624637742
查,14821,0.0006660085520153533
促,14781,0.0006642110793697414
亚,14756,0.0006630876589662339
维,14703,0.0006607060077107982
古,14651,0.0006583692932715027
春,14643,0.0006580097987423803
艺,14531,0.0006529768753346669
贸,14517,0.0006523477599087028
命,14501,0.000651628770850458
少,14478,0.0006505952240792312
养,14473,0.0006503705399985297
绿,14473,0.0006503705399985297
势,14450,0.0006493369932273028
论,14345,0.0006446186275325716
具,14265,0.0006410236822413477
防,14214,0.0006387319046181925
兴,14167,0.0006366198742595986
健,14035,0.0006306882145290792
易,13986,0.0006284863105382047
层,13870,0.0006232736398659301
样,13858,0.0006227343980722465
复,13839,0.0006218805985655809
王,13814,0.0006207571781620734
障,13774,0.0006189597055164615
此,13699,0.0006155894443059392
难,13697,0.0006154995706736586
每,13642,0.0006130280457859423
价,13596,0.0006109609522434885
益,13490,0.0006061976497326169
非,13456,0.0006046697979838468
格,13433,0.00060363625121262
识,13407,0.0006024678939929723
校,13317,0.0005984235805403455
装,13241,0.0005950083825136828
周,13233,0.0005946488879845605
视,13229,0.0005944691407199993
培,13173,0.0005919526790161425
席,13117,0.0005894362173122859
给,12952,0.0005820216426491368
花,12947,0.0005817969585684352
志,12805,0.000575415930676513
园,12766,0.0005736633948470413
热,12739,0.0005724501008112533
斯,12730,0.0005720456694659906
认,12716,0.0005714165540400265
息,12659,0.0005688551555200295
速,12613,0.0005667880619775758
划,12609,0.0005666083147130146
未,12579,0.0005652602102288057
由,12511,0.0005622045067312654
检,12493,0.00056139564404074
知,12412,0.0005577557619333759
马,12404,0.0005573962674042536
职,12345,0.000554744995251976
红,12333,0.0005542057534582924
李,12218,0.0005490380196021582
站,12130,0.000545083579781812
赛,12129,0.0005450386429656717
值,12101,0.0005437804121137433
预,12085,0.0005430614230554986
使,12030,0.0005405898981677822
五,11995,0.0005390171096028717
争,11925,0.0005358715324730509
双,11912,0.0005352873538632271
根,11909,0.0005351525434148062
因,11904,0.0005349278593341047
反,11832,0.0005316924085720032
器,11828,0.000531512661307442
满,11692,0.0005254012543123615
份,11658,0.0005238734025635914
依,11650,0.0005235139080344691
何,11629,0.0005225702348955228
被,11622,0.0005222556771825407
别,11614,0.0005218961826534183
础,11592,0.0005209075726983318
负,11547,0.0005188854159720184
土,11523,0.0005178069323846513
府,11497,0.0005166385751650034
食,11481,0.0005159195861067587
约,11461,0.0005150208497839528
念,11309,0.0005081904537306276
铁,11309,0.0005081904537306276
险,11291,0.0005073815910401022
采,11288,0.0005072467805916813
证,11231,0.0005046853820716842
显,11149,0.0005010005631481799
注,11143,0.0005007309422513381
列,11138,0.0005005062581706366
纪,11131,0.0005001917004576545
户,11075,0.0004976752387537978
直,11058,0.0004969113128794128
核,11015,0.00049497902978538
略,11002,0.0004943948511755561
破,10921,0.0004907549690681919
聚,10849,0.00048751951830609054
友,10817,0.00048608154018960103
居,10770,0.000483969509831007
很,10769,0.0004839245730148667
尔,10762,0.00048361001530188464
修,10750,0.00048307077350820106
承,10745,0.0004828460894274996
拉,10700,0.00048082393270118616
话,10653,0.0004787119023425922
航,10629,0.00047763341875522503
阳,10628,0.0004775884819390847
率,10578,0.00047534164113206985
功,10574,0.00047516189386750864
富,10551,0.0004741283470962818
充,10537,0.00047349923167031764
真,10524,0.00047291505306049374
足,10521,0.00047278024261207286
再,10506,0.0004721061903699684
包,10447,0.00046945491821769086
镇,10417,0.0004681068137334819
配,10405,0.0004675675719397983
百,10387,0.000466758709249273
选,10369,0.0004659498465587476
链,10351,0.00046514098386822225
考,10302,0.0004629390798773477
版,10242,0.0004602428709089298
馆,10229,0.0004596586922991059
图,10197,0.0004582207141826164
低,10191,0.0004579510932857746
容,10180,0.0004574567883082313
突,10176,0.00045727704104367016
福,10174,0.00045718716741138956
围,9990,0.0004489187932415748
段,9881,0.00044402068028228227
湖,9785,0.0004397067459328137
严,9785,0.0004397067459328137
只,9740,0.0004376845892065003
往,9721,0.00043683078969983464
料,9719,0.00043674091606755403
仅,9704,0.0004360668638254496
介,9698,0.0004357972429286078
连,9695,0.00043566243248018693
康,9674,0.00043471875934124066
则,9648,0.0004335504021215929
片,9609,0.0004317978662921213
演,9608,0.00043175292947598103
获,9575,0.0004302700145433512
察,9573,0.0004301801409110706
克,9552,0.0004292364677721243
班,9485,0.0004262257010907244
便,9482,0.00042609089064230346
石,9464,0.0004252820279517781
探,9445,0.00042442822844511246
余,9444,0.0004243832916289722
测,9436,0.00042402379709984976
排,9393,0.000422091514005817
远,9368,0.0004209680936023095
米,9313,0.0004184965687145932
住,9298,0.0004178225164724887
但,9295,0.0004176877060240678
没,9282,0.00041710352741424395
算,9268,0.00041647441198827977
试,9255,0.0004158902333784559
讲,9222,0.00041440731844582607
置,9202,0.00041350858212302013
响,9157,0.0004114864253967067
始,9155,0.0004113965517644261
德,9107,0.0004092395845896918
切,9076,0.00040784654328934256
象,9072,0.0004076667960247814
博,9062,0.00040721742786337844
儿,9020,0.0004053300815854859
或,9001,0.00040447628207882023
挥,8992,0.0004040718507335576
底,8960,0.000402633872617068
批,8942,0.0004018250099265427
火,8938,0.0004016452626619815
普,8934,0.0004014655153974203
龙,8817,0.00039620790790900545
律,8762,0.0003937363830212891
必,8724,0.0003920287840079578
致,8704,0.00039113004768515184
践,8700,0.00039095030042059063
乐,8659,0.0003891078909588384
云,8641,0.0003882990282683131
望,8630,0.0003878047232907698
控,8630,0.0003878047232907698
黄,8630,0.0003878047232907698
绍,8619,0.0003873104183132265
丰,8605,0.00038668130288726236
港,8554,0.0003843895252641072
遗,8550,0.00038420977799954597
房,8546,0.00038403003073498476
藏,8544,0.00038394015710270415
又,8531,0.0003833559784928803
药,8476,0.0003808844536051639
编,8444,0.0003794464754886744
扩,8439,0.0003792217914079729
照,8434,0.0003789971073272714
措,8433,0.0003789521705111311
股,8424,0.00037854773916586845
卫,8422,0.00037845786553358785
千,8374,0.00037630089835885355
抗,8352,0.000375312288403767
苏,8268,0.000371537595847982
终,8257,0.00037104329087043873
评,8210,0.0003689312605118447
白,8205,0.0003687065764311432
届,8203,0.0003686167027988626
减,8200,0.00036848189235044173
存,8189,0.0003679875873728985
随,8168,0.0003670439142339522
宁,8153,0.00036636986199184776
雪,8116,0.0003647071997946567
补,8103,0.00036412302118483286
士,8100,0.000363988210736412
素,8092,0.00036362871620728956
索,8079,0.0003630445375974657
号,8073,0.00036277491670062394
刻,7991,0.0003590900977771195
享,7983,0.0003587306032479971
么,7964,0.00035787680374133144
室,7947,0.0003571128778669464
降,7945,0.00035702300423466583
告,7918,0.00035580971019887774
画,7874,0.00035383249028870465
刘,7855,0.000352978690782039
税,7841,0.00035234957535607486
爱,7828,0.00035176539674625096
声,7811,0.0003510014708718659
八,7806,0.0003507767867911644
愿,7795,0.00035028248181362116
执,7789,0.00035001286091677935
树,7774,0.0003493388086746749
几,7763,0.0003488445036971316
访,7762,0.0003487995668809913
剧,7740,0.0003478109569259048
亲,7728,0.0003472717151322212
训,7726,0.0003471818414999406
飞,7722,0.0003470020942353794
审,7722,0.0003470020942353794
密,7707,0.00034632804199327493
陈,7668,0.0003445755061638033
田,7666,0.0003444856325315227
守,7651,0.00034381158028941826
材,7649,0.00034372170665713766
庆,7645,0.0003435419593925765
故,7610,0.00034196917082766605
紧,7585,0.0003408457504241586
轻,7570,0.0003401716981820541
巴,7555,0.00033949764593994966
写,7539,0.00033877865688170493
那,7528,0.00033828435190416163
银,7515,0.0003377001732943378
激,7440,0.00033432991208381545
跨,7404,0.0003327121867027647
担,7390,0.00033208307127680054
销,7369,0.00033113939813785427
货,7273,0.0003268254637883857
况,7213,0.00032412925481996785
温,7156,0.00032156785629997085
帮,7154,0.00032147798266769025
督,7119,0.00031990519410277985
键,7104,0.0003192311418606754
病,7087,0.00031846721598629033
汽,7078,0.00031806278464102764
己,7078,0.00031806278464102764
细,7063,0.0003173887323989232
良,7052,0.0003168944274213799
言,7017,0.0003153216388564695
植,6983,0.00031379378710769937
献,6978,0.0003135691030269979
救,6941,0.0003119064408298068
待,6929,0.00031136719903612325
款,6907,0.0003103785890810367
络,6874,0.0003088956741484069
伟,6831,0.0003069633910543741
综,6814,0.00030619946517998904
托,6803,0.00030570516020244574
序,6792,0.0003052108552249025
街,6791,0.00030516591840876216
贯,6764,0.00030395262437297413
厂,6751,0.0003033684457631503
送,6727,0.00030228996217578313
读,6724,0.00030215515172736225
疗,6720,0.00030197540446280104
适,6700,0.0003010766681399951
警,6700,0.0003010766681399951
该,6698,0.0003009867945077145
均,6653,0.0002989646377814011
劳,6584,0.00029586399746772056
眼,6545,0.0002941114616382489
惠,6537,0.00029375196710912653
座,6522,0.0002930779148670221
课,6472,0.00029083107406000717
沙,6462,0.0002903817058986042
牌,6461,0.0002903367690824639
油,6458,0.000290201958634043
抓,6422,0.0002885842332529923
斗,6419,0.0002884494228045714
征,6414,0.0002882247387238699
洲,6410,0.00028804499145930874
例,6400,0.0002875956232979057
初,6393,0.0002872810655849237
阿,6378,0.0002866070133428192
较,6356,0.00028561840338773263
财,6355,0.00028557346657159235
急,6353,0.00028548359293931175
离,6348,0.00028525890885861026
继,6320,0.0002840006780066819
贵,6233,0.000280091175002476
像,6228,0.0002798664909217745
遇,6227,0.00027982155410563424
播,6224,0.00027968674365721336
她,6170,0.00027726015558563724
临,6169,0.00027721521876949697
英,6162,0.0002769006610565149
印,6146,0.0002761816719982701
宣,6145,0.0002761367351821298
许,6104,0.0002742943257203776
武,6103,0.00027424938890423733
振,6084,0.00027339558939757166
启,6069,0.0002727215371554672
既,6064,0.00027249685307476567
太,6063,0.0002724519162586254
久,6052,0.00027195761128108215
店,6038,0.00027132849585511797
奋,6001,0.0002696658336579269
竞,5980,0.0002687221605189807
纳,5973,0.0002684076028059986
额,5949,0.00026732911921863146
冰,5947,0.00026723924558635085
星,5942,0.00026701456150564937
峰,5930,0.0002664753197119658
独,5914,0.000265756330653721
草,5896,0.00026494746796319567
拓,5895,0.0002649025311470554
吸,5882,0.0002643183525372315
听,5882,0.0002643183525372315
购,5845,0.0002626556903400405
授,5819,0.00026148733312039273
微,5794,0.0002603639127168853
吉,5776,0.0002595550500263599
输,5761,0.00025888099778425546
木,5754,0.00025856644007127337
筑,5754,0.00025856644007127337
语,5749,0.0002583417559905719
移,5738,0.00025784745101302864
留,5707,0.0002564544097126794
请,5695,0.0002559151679189958
盖,5664,0.0002545221266186466
川,5656,0.0002541626320895242
慧,5642,0.00025353351666356004
碳,5641,0.00025348857984741976
候,5641,0.00025348857984741976
端,5619,0.00025249996989233316
季,5597,0.0002515113599372466
洋,5581,0.0002507923708790019
亮,5578,0.00025065756043058095
桥,5566,0.0002501183186368974
荣,5557,0.00024971388729163474
舞,5531,0.000248545530071987
属,5523,0.0002481860355428646
压,5509,0.00024755692011690044
孩,5492,0.0002467929942425154
换,5472,0.00024589425791970944
除,5452,0.00024499552159690344
音,5450,0.00024490564796462284
浙,5445,0.00024468096388392135
岁,5414,0.00024328792258357214
杨,5412,0.00024319804895129156
占,5411,0.00024315311213515126
希,5390,0.00024220943899620499
早,5374,0.00024149044993796023
章,5367,0.00024117589222497814
免,5353,0.00024054677679901399
半,5334,0.00023969297729234832
短,5323,0.00023919867231480505
售,5309,0.00023856955688884087
录,5306,0.00023843474644042
载,5267,0.00023668221061094838
即,5256,0.00023618790563340508
欧,5256,0.00023618790563340508
励,5251,0.0002359632215527036
贡,5218,0.00023448030662007378
鼓,5203,0.00023380625437796932
角,5187,0.00023308726531972454
署,5167,0.0002321885289969186
胜,5163,0.00023200878173235741
彻,5153,0.00023155941357095442
努,5126,0.00023034611953516639
累,5100,0.00022917776231551863
丽,5094,0.00022890814141867684
固,5069,0.00022778472101516942
板,5042,0.00022657142697938136
诉,4993,0.00022436952298850678
挑,4983,0.0002239201548271038
永,4979,0.0002237404075625426
筹,4957,0.00022275179760745606
练,4944,0.00022216761899763218
扎,4941,0.0002220328085492113
困,4916,0.00022090938814570385
曾,4911,0.00022068470406500236
波,4901,0.0002202353359035994
延,4900,0.0002201903990874591
失,4897,0.00022005558863903818
兰,4893,0.000219875841374477
卡,4889,0.00021969609410991582
伴,4888,0.0002196511572937755
哈,4879,0.00021924672594851285
什,4872,0.00021893216823553076
欢,4860,0.00021839292644184718
违,4860,0.00021839292644184718
香,4849,0.0002178986214643039
六,4841,0.00021753912693518151
迎,4830,0.00021704482195763824
雨,4828,0.00021695494832535764
罗,4828,0.00021695494832535764
按,4825,0.00021682013787693676
彩,4818,0.00021650558016395467
须,4812,0.00021623595926711288
谈,4809,0.000216101148818692
攻,4801,0.0002157416542895696
顺,4799,0.000215651780657289
味,4771,0.00021439354980536067
频,4760,0.0002138992448278174
夏,4754,0.0002136296239309756
鲜,4747,0.00021331506621799352
退,4715,0.000211877088101504
灾,4709,0.00021160746720466221
针,4705,0.00021142771994010103
庭,4702,0.00021129290949168012
追,4697,0.00021106822541097864
涉,4696,0.00021102328859483834
粮,4692,0.00021084354133027715
旧,4688,0.00021066379406571597
尼,4688,0.00021066379406571597
觉,4669,0.0002098099945590503
称,4660,0.0002094055632137876
焦,4650,0.00020895619505238464
击,4642,0.00020859670052326228
找,4619,0.0002075631537520354
害,4596,0.00020652960698080855
繁,4583,0.0002059454283709847
矿,4579,0.0002057656811064235
秀,4563,0.00020504669204817873
船,4561,0.00020495681841589813
宝,4557,0.00020477707115133695
菜,4547,0.00020432770298993398
喜,4530,0.00020356377711554892
赋,4526,0.00020338402985098773
蒙,4499,0.00020217073581519967
贴,4475,0.00020109225222783252
黑,4472,0.00020095744177941164
烈,4464,0.00020059794725028925
津,4429,0.00019902515868537883
扬,4427,0.00019893528505309825
库,4407,0.00019803654873029228
歌,4406,0.00019799161191415198
轮,4401,0.0001977669278334505
典,4397,0.0001975871805688893
牢,4394,0.0001974523701204684
申,4385,0.00019704793877520574
餐,4385,0.00019704793877520574
吃,4384,0.00019700300195906543
官,4381,0.00019686819151064455
套,4352,0.00019556502384257592
零,4343,0.00019516059249731322
靠,4338,0.00019493590841661174
某,4331,0.00019462135070362965
付,4329,0.00019453147707134907
背,4329,0.00019453147707134907
刚,4319,0.00019408210890994607
够,4317,0.0001939922352776655
岸,4301,0.0001932732462194207
尽,4297,0.00019309349895485953
逐,4295,0.00019300362532257892
阶,4278,0.00019223969944819386
援,4276,0.00019214982581591329
汉,4244,0.00019071184769942374
简,4240,0.00019053210043486256
假,4214,0.0001893637432152148
覆,4209,0.00018913905913451332
勇,4195,0.00018850994370854917
壮,4193,0.00018842007007626856
汇,4178,0.0001877460178341641
撑,4158,0.00018684728151135814
奖,4137,0.0001859036083724119
曲,4137,0.0001859036083724119
松,4136,0.0001858586715562716
握,4118,0.00018504980886574623
架,4118,0.00018504980886574623
兵,4110,0.00018469031433662384
穿,4074,0.00018307258895557314
董,4067,0.00018275803124259105
它,4056,0.00018226372626504778
递,4051,0.0001820390421843463
玉,4048,0.00018190423173592538
伙,4036,0.0001813649899422418
厚,4035,0.0001813200531261015
童,4031,0.00018114030586154032
陆,3996,0.0001795675172966299
染,3982,0.00017893840187066572
戏,3967,0.00017826434962856126
沿,3963,0.00017808460236400008
钢,3961,0.00017799472873171948
吴,3954,0.00017768017101873739
招,3938,0.00017696118196049263
宜,3928,0.00017651181379908966
岗,3928,0.00017651181379908966
潜,3904,0.0001754333302117225
七,3903,0.0001753883933955822
映,3894,0.00017498396205031954
述,3883,0.00017448965707277626
坦,3872,0.00017399535209523296
签,3862,0.00017354598393383
径,3837,0.00017242256353032254
赵,3835,0.00017233268989804196
绕,3833,0.00017224281626576136
释,3828,0.00017201813218505987
停,3827,0.00017197319536891957
厅,3820,0.00017165863765593748
你,3815,0.000171433953575236
幕,3792,0.00017040040680400915
盟,3789,0.00017026559635558827
跑,3786,0.00017013078590716736
赢,3778,0.000169771291378045
堂,3774,0.00016959154411348378
